scenario_id,week_start,plant_id,region_id,model_code,trim_code,color_code,allocated_qty,implied_lead_days
1,2025-07-28,AUS,CC,M3,ST,WH,168,5
1,2025-07-28,AUS,CC,MY,PR,BK,54,5
1,2025-07-28,FRE,CC,MY,PR,BK,59,9
1,2025-07-28,SHA,CC,MY,PR,BK,57,23
1,2025-07-28,BER,CC,MY,PR,BK,11,25
1,2025-07-28,AUS,CC,MY,PR,BL,16,5
1,2025-07-28,FRE,CC,MY,PR,BL,10,9
1,2025-07-28,SHA,CC,MY,PR,BL,17,23
1,2025-07-28,BER,CC,MY,PR,BL,7,25
1,2025-07-28,AUS,CC,MY,PR,GY,29,5
1,2025-07-28,FRE,CC,MY,PR,GY,26,9
1,2025-07-28,SHA,CC,MY,PR,GY,31,23
1,2025-07-28,BER,CC,MY,PR,GY,22,25
1,2025-07-28,AUS,CC,MY,PR,WH,56,5
1,2025-07-28,FRE,CC,MY,PR,WH,68,9
1,2025-07-28,SHA,CC,MY,PR,WH,49,23
1,2025-07-28,BER,CC,MY,PR,WH,48,25
1,2025-07-28,AUS,CC,MY,ST,BK,153,5
1,2025-07-28,FRE,CC,MY,ST,BK,45,9
1,2025-07-28,AUS,CC,MY,ST,BL,54,5
1,2025-07-28,FRE,CC,MY,ST,BL,34,9
1,2025-07-28,SHA,CC,MY,ST,BL,33,23
1,2025-07-28,BER,CC,MY,ST,BL,40,25
1,2025-07-28,AUS,CC,MY,ST,GY,66,5
1,2025-07-28,FRE,CC,MY,ST,GY,62,9
1,2025-07-28,SHA,CC,MY,ST,GY,53,23
1,2025-07-28,BER,CC,MY,ST,GY,36,25
1,2025-07-28,AUS,CC,MY,ST,WH,115,5
1,2025-07-28,FRE,CC,MY,ST,WH,105,9
1,2025-07-28,SHA,EC,M3,PR,BK,63,24
1,2025-07-28,BER,EC,M3,PR,BK,65,26
1,2025-07-28,SHA,EC,M3,PR,WH,63,24
1,2025-07-28,BER,EC,M3,PR,WH,50,26
1,2025-07-28,AUS,EC,M3,ST,BK,31,10
1,2025-07-28,FRE,EC,M3,ST,BK,145,12
1,2025-07-28,SHA,EC,M3,ST,BK,16,24
1,2025-07-28,SHA,EC,M3,ST,BL,13,24
1,2025-07-28,BER,EC,M3,ST,BL,56,26
1,2025-07-28,FRE,EC,M3,ST,GY,86,12
1,2025-07-28,SHA,EC,M3,ST,GY,123,24
1,2025-07-28,AUS,EC,M3,ST,WH,41,10
1,2025-07-28,FRE,EC,M3,ST,WH,186,12
1,2025-07-28,SHA,EC,M3,ST,WH,46,24
1,2025-07-28,BER,EC,MY,PR,BK,28,26
1,2025-07-28,FRE,EC,MY,ST,BK,84,12
1,2025-07-28,SHA,EC,MY,ST,BK,112,24
1,2025-07-28,BER,EC,MY,ST,BK,104,26
1,2025-07-28,BER,EC,MY,ST,GY,18,26
1,2025-07-28,FRE,EC,MY,ST,WH,12,12
1,2025-07-28,SHA,EC,MY,ST,WH,126,24
1,2025-07-28,BER,EC,MY,ST,WH,105,26
1,2025-07-28,SHA,WC,M3,ST,BK,128,22
1,2025-07-28,SHA,WC,M3,ST,GY,3,22
1,2025-07-28,BER,WC,M3,ST,GY,105,24
1,2025-07-28,SHA,WC,M3,ST,WH,125,22
1,2025-08-04,AUS,CC,M3,PR,BK,73,5
1,2025-08-04,FRE,CC,M3,PR,BK,81,9
